datetime,arduino_millis,voltage
2026-06-23T13:23:16.035748,577169,42
2026-06-23T13:23:16.045663,577170,42
2026-06-23T13:23:16.045720,577171,42
2026-06-23T13:23:16.045800,577172,42
2026-06-23T13:23:16.045858,577173,42
2026-06-23T13:23:16.045910,577174,42
2026-06-23T13:23:16.045961,577175,41
2026-06-23T13:23:16.046011,577176,41
2026-06-23T13:23:16.046061,577177,41
2026-06-23T13:23:16.046111,577178,41
2026-06-23T13:23:16.046160,577179,41
2026-06-23T13:23:16.046211,577180,42
2026-06-23T13:23:16.056139,577181,42
2026-06-23T13:23:16.056221,577181,42
2026-06-23T13:23:16.056293,577182,42
2026-06-23T13:23:16.056347,577183,42
2026-06-23T13:23:16.056397,577184,43
2026-06-23T13:23:16.056448,577185,43
2026-06-23T13:23:16.056500,577186,43
2026-06-23T13:23:16.056594,577187,44
2026-06-23T13:23:16.056646,577188,43
2026-06-23T13:23:16.056696,577189,43
2026-06-23T13:23:16.056746,577190,43
2026-06-23T13:23:16.066645,577191,42
2026-06-23T13:23:16.066718,577192,42
2026-06-23T13:23:16.066779,577193,42
2026-06-23T13:23:16.066831,577194,42
2026-06-23T13:23:16.066881,577195,42
2026-06-23T13:23:16.066932,577196,42
2026-06-23T13:23:16.066982,577197,41
2026-06-23T13:23:16.067043,577198,42
2026-06-23T13:23:16.067094,577199,42
2026-06-23T13:23:16.067144,577200,43
2026-06-23T13:23:16.067195,577201,43
2026-06-23T13:23:16.077008,577202,43
2026-06-23T13:23:16.077065,577202,44
2026-06-23T13:23:16.077142,577203,44
2026-06-23T13:23:16.077199,577204,44
2026-06-23T13:23:16.077250,577205,43
2026-06-23T13:23:16.077300,577206,43
2026-06-23T13:23:16.077352,577207,42
2026-06-23T13:23:16.077402,577208,42
2026-06-23T13:23:16.077452,577209,42
2026-06-23T13:23:16.077503,577210,42
2026-06-23T13:23:16.077555,577211,41
2026-06-23T13:23:16.087480,577212,41
2026-06-23T13:23:16.087559,577213,42
